address	data_type	value
0044f6ca	TerminatedCString	SetCursor
0044f6d6	TerminatedCString	LoadCursorA
0044f6e4	TerminatedCString	ReleaseDC
0044f6f0	TerminatedCString	SetWindowLongA
0044f702	TerminatedCString	SetWindowPos
0044f712	TerminatedCString	GetSystemMetrics
0044f726	TerminatedCString	GetDC
0044f72e	TerminatedCString	GetDlgItem
0044f73c	TerminatedCString	InvalidateRgn
0044f74c	TerminatedCString	DispatchMessageA
0044f760	TerminatedCString	TranslateMessage
0044f774	TerminatedCString	TranslateAcceleratorA
0044f78c	TerminatedCString	IsDialogMessageA
0044f7a0	TerminatedCString	GetMessageA
0044f7ae	TerminatedCString	PostMessageA
0044f7be	TerminatedCString	LoadAcceleratorsA
0044f7d2	TerminatedCString	RegisterClassExA
0044f7e6	TerminatedCString	GetSysColor
0044f7f4	TerminatedCString	LoadIconA
0044f800	TerminatedCString	LoadStringA
0044f80e	TerminatedCString	InsertMenuA
0044f81c	TerminatedCString	CreateDialogParamA
0044f832	TerminatedCString	UpdateWindow
0044f842	TerminatedCString	InvalidateRect
0044f854	TerminatedCString	SetFocus
0044f860	TerminatedCString	DialogBoxParamA
0044f872	TerminatedCString	CheckMenuItem
0044f882	TerminatedCString	CheckMenuRadioItem
0044f898	TerminatedCString	SetWindowPlacement
0044f8ae	TerminatedCString	GetWindowPlacement
0044f8c4	TerminatedCString	DefWindowProcA
0044f8d6	TerminatedCString	ShowWindow
0044f8e4	TerminatedCString	FindWindowA
0044f8f2	TerminatedCString	DrawMenuBar
0044f900	TerminatedCString	RemoveMenu
0044f90e	TerminatedCString	GetSubMenu
0044f91c	TerminatedCString	GetMenu
0044f926	TerminatedCString	DestroyWindow
0044f936	TerminatedCString	ShowScrollBar
0044f946	TerminatedCString	PostQuitMessage
0044f958	TerminatedCString	MessageBoxA
0044f966	TerminatedCString	EndDialog
0044f972	TerminatedCString	GetDlgItemInt
0044f982	TerminatedCString	IsDlgButtonChecked
0044f998	TerminatedCString	CheckDlgButton
0044f9aa	TerminatedCString	EnableWindow
0044f9ba	TerminatedCString	CheckRadioButton
0044f9ce	TerminatedCString	SendDlgItemMessageA
0044f9e4	TerminatedCString	SetDlgItemTextA
0044f9f6	TerminatedCString	GetKeyState
0044fa04	TerminatedCString	EnableMenuItem
0044fa16	TerminatedCString	LoadImageA
0044fa24	TerminatedCString	MoveWindow
0044fa32	TerminatedCString	OffsetRect
0044fa40	TerminatedCString	GetWindowRect
0044fa50	TerminatedCString	DestroyMenu
0044fa5e	TerminatedCString	TrackPopupMenu
0044fa70	TerminatedCString	LoadMenuA
0044fa7c	TerminatedCString	GetFocus
0044fa88	TerminatedCString	ClientToScreen
0044fa9a	TerminatedCString	PtInRect
0044faa6	TerminatedCString	ScreenToClient
0044fab8	TerminatedCString	CloseClipboard
0044faca	TerminatedCString	FillRect
0044fad6	TerminatedCString	SetClipboardData
0044faea	TerminatedCString	EmptyClipboard
0044fafc	TerminatedCString	OpenClipboard
