entry	name	namespace	is_thunk	calling_convention	parameter_count	return_type
0043fa1b	FUN_0043fa1b	Global	false	__stdcall	0	undefined
0043fa30	_strncat	Global	false	__cdecl	3	char *
0043fb65	__heap_alloc	Global	false	__cdecl	1	void *
0043fbd7	FUN_0043fbd7	Global	false	__stdcall	0	undefined
0043fbe0	__nh_malloc	Global	false	__cdecl	2	void *
0043fc0c	_malloc	Global	false	__cdecl	1	void *
0043fc1e	_free	Global	true	__cdecl	1	void
0043fc23	`eh_vector_constructor_iterator'	Global	false	__stdcall	5	void
0043fc6d	FUN_0043fc6d	Global	false	__stdcall	0	undefined
0043fc85	operator_new	Global	true	__cdecl	1	void *
0043fc8a	__fread_lk	Global	false	__cdecl	4	uint
0043fd73	_fread	Global	false	__cdecl	4	size_t
0043fdb5	FUN_0043fdb5	Global	false	__stdcall	0	undefined
0043fdbf	__ArrayUnwind	Global	false	__stdcall	4	void
0043fe1d	`eh_vector_destructor_iterator'	Global	false	__stdcall	4	void
0043fe65	FUN_0043fe65	Global	false	__stdcall	0	undefined
0043fe7d	FUN_0043fe7d	Global	false	__cdecl	1	char *
0043ff88	_localtime	Global	false	__cdecl	1	tm *
00440110	__allshl	Global	false	__fastcall	2	longlong
0044012f	FUN_0044012f	Global	false	__cdecl	2	uint
004401f0	_strncmp	Global	false	__cdecl	3	int
00440230	_memcpy	Global	false	__cdecl	3	void *
0044056d	_fsetpos	Global	false	__cdecl	2	int
00440585	_fgetpos	Global	false	__cdecl	2	int
004405a7	_isupper	Global	false	__cdecl	1	int
004405e1	_isdigit	Global	false	__cdecl	1	int
0044061b	_isalnum	Global	false	__cdecl	1	int
0044065a	_rewind	Global	false	__cdecl	1	void
004406d9	FUN_004406d9	Global	false	__stdcall	0	undefined
004406e3	FUN_004406e3	Global	false	__thiscall	3	uint
004407ab	FUN_004407ab	Global	false	__cdecl	1	undefined
004407cd	__amsg_exit	Global	false	__cdecl	1	void
004407f2	fast_error_exit	Global	false	__cdecl	1	undefined
00440816	entry	Global	false	__stdcall	0	WPARAM
004409e8	FUN_004409e8	Global	false	__stdcall	0	undefined
00440a3e	FUN_00440a3e	Global	false	__stdcall	1	undefined
00440b88	__SEH_prolog	Global	false	__cdecl	2	undefined
00440bc3	__SEH_epilog	Global	false	__stdcall	0	undefined
00440bd4	FUN_00440bd4	Global	false	__cdecl	1	undefined4
00440c57	__close	Global	false	__cdecl	1	int
